0,AAPL,10.0,sell
1,SPX,10.0,sell
2,IBM,10.0,sell
3,SPX,10.0,sell
4,IBM,10.0,sell
5,CPQ,10.0,sell
6,OEX,20.0,buy
7,SPX,20.0,buy
8,DJX,10.0,sell
9,INTC,10.0,sell
10,MSFT,10.0,sell
11,MSFT,20.0,buy
12,MSFT,10.0,sell
13,MSFT,10.0,sell
14,INTC,10.0,sell
15,AAPL,10.0,sell
16,IBM,20.0,buy
17,INTC,20.0,buy
18,INTC,20.0,buy
19,DJX,20.0,buy
20,IBM,20.0,buy
21,NDX,20.0,buy
22,SPX,20.0,buy
23,NDX,20.0,buy
24,GOOG,10.0,sell
25,AAPL,20.0,buy
26,OEX,10.0,sell
27,GOOG,20.0,buy
28,DJX,10.0,sell
29,INTC,10.0,sell
30,GOOG,20.0,buy
31,OEX,10.0,sell
32,MSFT,10.0,sell
33,INTC,10.0,sell
34,AAPL,20.0,buy
35,IBM,20.0,buy
36,SPX,10.0,sell
37,OEX,20.0,buy
38,CPQ,20.0,buy
39,IBM,20.0,buy
40,CPQ,10.0,sell
41,CPQ,10.0,sell
42,NDX,20.0,buy
43,GOOG,20.0,buy
44,GOOG,10.0,sell
45,AAPL,20.0,buy
46,GOOG,10.0,sell
47,OEX,10.0,sell
48,DJX,10.0,sell
49,OEX,20.0,buy
50,SPX,10.0,sell
51,MSFT,20.0,buy
52,OEX,10.0,sell
53,INTC,10.0,sell
54,DJX,10.0,sell
55,SPX,10.0,sell
56,NDX,20.0,buy
57,MSFT,20.0,buy
58,IBM,20.0,buy
59,CPQ,10.0,sell
60,OEX,10.0,sell
61,OEX,20.0,buy
62,SPX,20.0,buy
63,MSFT,10.0,sell
64,OEX,10.0,sell
65,INTC,10.0,sell
66,GOOG,10.0,sell
67,INTC,10.0,sell
68,AAPL,10.0,sell
69,SPX,10.0,sell
70,IBM,10.0,sell
71,SPX,10.0,sell
72,INTC,10.0,sell
73,DJX,20.0,buy
74,NDX,20.0,buy
75,CPQ,10.0,sell
76,IBM,20.0,buy
77,GOOG,10.0,sell
78,SPX,10.0,sell
79,GOOG,20.0,buy
80,CPQ,20.0,buy
81,MSFT,10.0,sell
82,GOOG,10.0,sell
83,CPQ,10.0,sell
84,CPQ,20.0,buy
85,NDX,10.0,sell
86,INTC,20.0,buy
87,AAPL,10.0,sell
88,INTC,10.0,sell
89,DJX,10.0,sell
90,DJX,10.0,sell
91,AAPL,20.0,buy
92,CPQ,20.0,buy
93,AAPL,20.0,buy
94,SPX,20.0,buy
95,SPX,20.0,buy
96,MSFT,20.0,buy
97,CPQ,20.0,buy
98,GOOG,20.0,buy
99,OEX,10.0,sell
100,GOOG,10.0,sell
101,SPX,20.0,buy
